left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,91,28,0,0,0,0,8,0,0,0,0,0,88,63,0,0,0,0,289,77,0,0,0,0,14,0,0,0,26,222,131,0,0,0,0,56,33,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,533,216,16,111,0,0,0,0,0,0,0,272,236,0,0,0,0,0,0,0,0,0,0,23,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,16,105,0,0,0,0,0,0,0,0,0,0,38,129,68,0,0,0,0,0,4,0,0,0,0,63,47,0,0,0,0,263,60,0,0,0,0,34,0,0,7,26,195,100,0,0,0,0,146,98,37,0,0,0,15,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right
0,0,13,0,0,22,11,91,262,281,49,0,0,0,32,0,18,8,30,66,232,246,0,0,0,0,0,0,0,0,0,28,329,262,0,0,0,0,0,0,0,0,0,23,537,147,0,0,0,0,0,0,0,40,70,154,321,76,0,0,0,0,85,10,10,0,10,127,303,268,0,0,0,28,158,35,0,0,0,86,224,119,0,0,0,0,0,0,0,0,0,26,126,0,0,0,forward
0,0,0,0,0,0,0,0,107,145,0,0,0,0,0,0,0,0,0,0,122,199,0,0,0,0,0,0,0,0,0,0,288,311,0,0,0,0,0,0,0,0,0,11,879,362,51,171,0,0,0,0,0,0,0,71,217,58,0,0,0,0,0,0,0,0,0,100,363,365,10,0,0,0,0,0,0,0,0,57,322,224,54,0,0,0,0,0,0,0,0,46,281,95,130,0,forward
0,0,0,0,0,0,0,0,124,132,0,0,0,0,0,0,0,0,0,5,145,190,0,0,0,0,0,0,0,0,0,0,369,324,0,0,0,0,0,0,0,0,0,27,1033,311,39,26,0,0,0,0,0,0,0,50,147,8,0,0,0,0,0,0,0,0,0,77,208,235,0,0,0,0,0,0,0,0,0,71,306,224,77,0,0,0,0,0,0,0,0,140,534,230,427,63,forward
0,0,8,0,0,0,0,52,175,183,0,0,0,0,43,0,20,0,16,47,176,179,0,0,0,0,56,12,0,0,0,34,345,240,0,0,0,0,0,0,0,0,0,49,845,210,5,0,0,0,0,0,0,0,13,99,207,19,0,0,0,0,24,0,0,0,0,100,244,198,0,0,0,9,101,13,0,0,0,88,255,134,0,0,0,0,0,0,0,0,0,55,163,40,0,0,forward
0,0,74,15,0,0,0,30,137,151,0,0,0,21,96,51,47,14,15,36,128,126,0,0,0,0,108,64,9,0,0,19,220,183,0,0,0,0,0,14,0,0,0,19,882,273,3,38,0,0,0,0,0,0,45,140,256,36,0,0,0,0,46,0,0,0,4,119,245,211,0,0,0,37,128,32,0,0,0,88,203,96,0,0,0,0,14,0,0,0,0,15,109,0,0,0,forward
0,0,55,20,0,10,0,55,183,203,0,0,0,0,75,41,74,36,40,55,167,184,0,0,0,0,78,54,10,0,0,29,262,218,0,0,0,0,0,0,0,0,0,6,655,188,0,0,0,0,0,0,0,0,38,135,257,46,0,0,0,0,17,0,0,0,0,125,262,234,0,0,0,0,76,0,0,0,0,81,196,99,5,0,0,0,0,0,0,0,0,34,133,0,3,0,forward
0,0,61,11,0,0,0,29,123,128,0,0,0,0,77,35,11,0,0,14,106,113,0,0,0,0,102,78,15,0,0,0,240,174,0,0,0,0,0,17,0,0,0,16,911,291,17,309,0,0,0,0,0,0,54,145,278,49,0,0,0,0,43,0,0,0,11,138,273,233,0,0,0,0,78,12,0,0,0,76,170,86,10,0,0,0,0,0,0,0,0,6,91,0,0,0,forward
0,431,410,185,0,17,0,55,170,129,0,0,0,461,404,282,159,40,38,60,135,83,0,0,0,241,349,231,42,0,0,31,157,78,0,0,0,0,14,0,0,0,0,0,430,12,0,0,0,0,9,0,0,0,0,73,108,0,0,0,0,263,348,94,14,0,0,76,82,8,0,0,0,522,433,148,0,0,0,56,74,0,0,0,0,235,212,22,0,0,0,7,39,0,0,0,backward
0,480,429,185,0,12,0,56,158,78,0,0,0,495,428,284,143,28,34,58,133,60,0,0,0,256,340,218,20,0,0,24,149,44,0,0,0,0,15,0,0,0,0,9,422,0,0,0,0,0,13,0,0,0,0,72,115,0,0,0,0,292,379,94,12,0,0,79,93,9,0,0,0,583,464,162,0,0,0,57,81,0,0,0,0,265,244,37,0,0,0,11,43,0,0,0,backward
